Tagnum
492
19
21
9
597
122
599
113
4182
128
701
3859
699
1756
4166
1664
1667
1695
1685
3942
3871
1774
1684
4085
1742
1663
1625
3839
7208
4026
4136
3810
1719
3964
1662
87
1693
1698
1697
84
1677
5350
1773
1659
4004
1755
21978
3843
3834
4345
7481
4700
1708
3799
6650
3841
872
1036
4726
7368
4231
4255
1721
1716
4175
1676
1687
3968
1741
5900
3978
10397
4711
3987
1643
4342
1702
3814
5716
1738
1669
5577
1646
784
4234
1734
5611
1775
1678
5537
4106
3835
1743
1754
1645
3798
7478
12472
1621
4150
1445
4434
4885
3878
4747
4791
9551
4172
4158
4305
5125
6378
4168
1720
4115
4295
4604
5851
5752
5984
4840
10695
4036
1654
8013
4667
3959
1644
5711
6426
1616
1673
4947
4328
4057
1628
4364
4064
8075
1666
1718
7332
1777
4486
8122
29363
1759
5153
13906
15045
5228
5923
1770
1710
4758
4325
6971
6691
4695
5613
1670
5348
14139
5395
4236
5708
4637
7782
4242
5363
5547
4252
6730
5030
25085
13782
4094
7107
16598
8945
4195
9541
11014
4046
7743
4975
4821
15339
1665
7432
1688
1681
1671
7948
4684
4736
10816
6052
5160
1752
7250
5310
6815
1732
5502
4376
5186
4562
4161
1649
17305
4559
1751
5055
4400
4598
10808
13276
31579
3796
4145
9271
9564
12095
13190
4474
5300
1651
1647
1717
4018
6910
5765
21725
7113
1714
1680
3952
4202
7226
5794
4878
10679
4155
1736
5382
5154
4754
18594
12286
6621
11333
4508
4608
5179
3813
3854
1679
1735
3955
4853
5094
19995
379975
11123
6915
9157
8666
1694
22602
4835
7569
7423
5796
5673
6948
5432
6276
7622
17015
15954
56690
5407
5372
4777
6625
17770
16094
6041
5981
8253
4184
6702
5390
1674
15564
1746
9592
16250
24003
4845
6310
21722
13577
17337
134316
7038
6869
4137
1730
198631
22955
7328
17927
71389
24904
21006
